User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
Israel s prime minister said he is ready to step down next year as part of a proposed power sharing agreement with,ABC,3/21/2020,positive,0.014814815
The number of cases in the U S and worldwide is the subject of some debate as testing has been rolled out unevenl,ABC,3/21/2020,negative,-0.166666667
Despite not actually going on physical dates statistics show that when people are home more dating site usage goes,ABC,3/21/2020,positive,0.166666667
Infectious disease experts don t know how bad the coronavirus is going to get either Via,ABC,3/21/2020,negative,-0.7
Satellite imagery shows dramatic reduction in air pollution over China since the novel coronavirus outbreak as peo,ABC,3/21/2020,negative,-0.433333333
We are seeing a concern that blind people will be left behind in the general anxiety that everyone else faces,ABC,3/21/2020,negative,-0.2125
CORONAVIRUS LATEST Globally there are at least 299 061 diagnosed cases and at least 12 755 coronavirus related de,ABC,3/21/2020,negative,-0.02
School and work closures remove a form of respite for DV victims experts say,ABC,3/21/2020,neutral,0
NEW A coronavirus test that shows results within hours rather than days has been authorized by the FDA Health,ABC,3/21/2020,positive,0.136363636
The Norwegian Olympic Committee wants the Tokyo Games only to take place once the coronavirus outbreak is under fi,ABC,3/21/2020,positive,0.066666667
Coronavirus mortality rate is twice as high among men in Italy as it is among women marking a concerning trend,ABC,3/21/2020,positive,0.16
CORONAVIRUS LATEST Economic stimulus may exceed 2 trillion up from 1 trillion New Je,ABC,3/21/2020,positive,0.278787879
BREAKING Italy reported 793 deaths the highest daily death toll for the country yet marking nearly a 20 increas,ABC,3/21/2020,positive,0.05
On the timing of the HHS n95 mask order and distribution Vice Pres Mike Pence tells s HHS is,ABC,3/21/2020,neutral,0
If you have asthma you probably know what the symptoms look like Seasonal allergies No problem But in this new,ABC,3/21/2020,neutral,0.136363636
HUD Sec Ben Carson The president has authorized the immediate cessation of foreclosure and eviction proceedings,ABC,3/21/2020,negative,-0.1
Amid a severe shortage of masks fashion designer Christian Siriano is offering his services to those on the front,ABC,3/21/2020,neutral,0
JUST IN New Jersey Gov Phil Murphy says he has signed an executive order directing nearly all New Jersey resident,ABC,3/21/2020,positive,0.124242424
