User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
Gal Gadot shares montage of 25 celebrities singing Imagine by John Lennon from isolation,CBSNews,3/21/2020,neutral,0
Doctors and nurses desperate for protective gear are begging the public to donate it,CBSNews,3/21/2020,negative,-0.3
Andrew Yang s nonprofit to donate 1 million to families impacted by coronavirus,CBSNews,3/21/2020,neutral,0
Italy reports record high single day death toll from coronavirus one day after previous record high,CBSNews,3/21/2020,negative,0.02047619
NYSE boss sold his own stock ahead of coronavirus market meltdown,CBSNews,3/21/2020,positive,0.6
Senate adjourns with plans to meet again Sunday on coronavirus stimulus package,CBSNews,3/21/2020,neutral,0
Truck drivers grocery store workers and more unsung heroes of the coronavirus pandemic,CBSNews,3/21/2020,positive,0.5
BREAKING Ohio abortion clinics ordered to stop procedures due to coronavirus,CBSNews,3/21/2020,negative,-0.125
Dr Anthony Fauci says unnecessary testing and elective procedures could have unintended consequences because the,CBSNews,3/21/2020,negative,-0.4
VP Pence says he and his wife will be tested for coronavirus this afternoon following the positive diagnosis of a s,CBSNews,3/21/2020,positive,0.113636364
VP Pence said that the person on his staff who has coronavirus is doing well and has not been to the White House,CBSNews,3/21/2020,neutral,0
VP Pence says more than 195 000 Americans have been tested for coronavirus with 19 343 testing positive,CBSNews,3/21/2020,positive,0.363636364
Coronavirus response is now streamlined FEMA administrator says There s nothing in my way,CBSNews,3/21/2020,neutral,0
President Trump thanks distilleries that are transforming their businesses in response to the coronavirus pandemic,CBSNews,3/21/2020,positive,0.2
HAPPENING NOW President Trump and Coronavirus Task Force members give updates on COVID 19 response,CBSNews,3/21/2020,neutral,0
Australia is closing Bondi Beach after crowds ignore coronavirus warnings,CBSNews,3/21/2020,neutral,0
You re not Superman and you re not Superwoman 54 of New York Coronavirus cases are ages 18 49 Gov Cuomo says,CBSNews,3/21/2020,positive,0.136363636
The number of coronavirus cases in New York has surpassed 10 000 Gov Cuomo says,CBSNews,3/21/2020,positive,0.136363636
New York Governor Andrew Cuomo announces the state is sending 1 million N95 masks to New York City and 500 000 N95,CBSNews,3/21/2020,positive,0.136363636
D C bookstore finds a unique way to stay open amid mass coronavirus closures,CBSNews,3/21/2020,positive,0.1875
Millions of Americans are being told to stay home in fight against COVID 19,CBSNews,3/21/2020,neutral,0
Americans stranded abroad amid coronavirus pandemic,CBSNews,3/21/2020,neutral,0
In just 24 hours 1 000 retired health care workers volunteered to help fight coronavirus in New York City,CBSNews,3/21/2020,positive,0.136363636
Jennifer Garner and Amy Adams enlist celebrities to read children s books to kids stuck at home,CBSNews,3/21/2020,neutral,0
New York orders most workers to stay at home as coronavirus cases surge,CBSNews,3/21/2020,positive,0.318181818
Senate fails to move forward with coronavirus stimulus bill,CBSNews,3/22/2020,negative,-0.5
RT This is the fundamental reason the Federal Reserve exists The Fed is here to make sure that there s liquidity says Neel,CBSNews,3/22/2020,positive,0.5
RT My best case scenario is we ll have a mild recession like after 9 11 The worst case would be we d have a deep recession l,CBSNews,3/22/2020,negative,0.083333333
RT Human trials have started on a vaccine that s being developed by the NIH and a Boston area biotech company to prevent COVID,CBSNews,3/22/2020,positive,0.05
RT Inovio Pharmaceuticals race to create a vaccine began when the genetic sequence of COVID 19 was posted online by Chinese sc,CBSNews,3/22/2020,neutral,0
RT With no proven medical treatments for COVID 19 hundreds of drug trials are underway worldwide http,CBSNews,3/22/2020,neutral,0
RT This is the fastest clinical trial that I ve ever seen come to fruition in this amount of time says Dr Angela Hewlett ab,CBSNews,3/22/2020,neutral,0
RT This biocontainment unit in Omaha is equipped to care for patients with highly contagious dangerous diseases like COVID 19,CBSNews,3/22/2020,negative,-0.22
RT At the University of Nebraska Medical Center a patient with COVID 19 is cocooned inside an isopod as she is wheeled into th,CBSNews,3/22/2020,negative,-0.05
Fauci says social distancing over coronavirus can stop U S from becoming an Italy,CBSNews,3/22/2020,positive,0.241666667
President Trump said it has been a long time since he had in person contact with Senator Rand Paul Paul s offi,CBSNews,3/22/2020,negative,-0.05
38 people including 21 inmates test positive for coronavirus in New York City jails,CBSNews,3/22/2020,positive,0.181818182
President Trump We re enduring a great national trial and we will prove that we can meet the moment,CBSNews,3/22/2020,positive,0.8
LOVE PREVAILS This couple held an impromptu wedding ceremony on the streets of New York during the coronavirus pan,CBSNews,3/22/2020,positive,0.318181818
President Trump says he has approved major disaster declarations in New York and Washington state,CBSNews,3/22/2020,positive,0.099431818
HAPPENING NOW President Trump and members of the Coronavirus Task Force give updates on the COVID 19 response from,CBSNews,3/22/2020,neutral,0
No deal yet as Senate pushes massive stimulus to save economy from coronavirus,CBSNews,3/22/2020,neutral,0
Watch live Trump and Coronavirus Task Force gives update on COVID 19 response,CBSNews,3/22/2020,positive,0.136363636
Republican Senator Rand Paul of Kentucky has tested positive for the coronavirus and is in quarantine,CBSNews,3/22/2020,positive,0.227272727
Former FDA Commissioner Scott Gottlieb expects shocking scenes in New York as coronavirus deaths mount,CBSNews,3/22/2020,negative,-0.287878788
This grandmother s 95th birthday party was cancelled due to the coronavirus pandemic But her family still found a,CBSNews,3/22/2020,negative,-0.125
RT In the fight against COVID 19 old medicines are being repurposed new vaccines are emerging from government and commercial,CBSNews,3/22/2020,positive,0.078787879
RT Dr Anthony Fauci stressed that mitigation measures implemented to flatten the number of new coronavirus cases are vit,CBSNews,3/22/2020,positive,0.136363636
Physicians and bioethicists on a pressing question Who lives and who dies,CBSNews,3/22/2020,neutral,0
RT NEWS says there s no antiviral drug that is in proper trials that s proven effective in preventing the,CBSNews,3/22/2020,positive,0.3
RT As coronavirus emerges as a monumental moment in history correspondent and former moderator,CBSNews,3/22/2020,neutral,0
Amidst the stress of a global pandemic experts say it s beneficial to take a break from the news So for just a m,CBSNews,3/22/2020,neutral,0
Gov Andrew Cuomo says this is not a short term situation and estimates it can take 4 9 months to overcome the co,CBSNews,3/22/2020,neutral,0
New York Gov Andrew Cuomo is calling for a plan in New York City to strengthen social distancing calling the dens,CBSNews,3/22/2020,positive,0.102020202
Am I still contagious Can I go to the store Doctor answers your most pressing coronavirus questions,CBSNews,3/22/2020,positive,0.5
Coronavirus and flattening the curve This is no time to be selfish,CBSNews,3/22/2020,negative,-0.5
RT New At least 38 people including 21 inmates have tested positive for coronavirus inside New York City jails signaling th,CBSNews,3/22/2020,positive,0.05
This school district s annual Choral Festival was canceled so the students all sang their individual a cappella po,CBSNews,3/22/2020,neutral,0
RT Coronavirus and flattening the curve This is no time to be selfish on the part we must all play to reduce our,CBSNews,3/22/2020,negative,-0.5
These fitness studios are live streaming workout classes for free during the coronavirus outbreak,CBSNews,3/22/2020,positive,0.268181818
Family wishes grandmother a happy 95th birthday while social distancing amid coronavirus pandemic,CBSNews,3/22/2020,positive,0.416666667
