User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
Some hospitals are running low on cash after canceling many elective procedures to devote more resources to the cor,CNN,3/21/2020,positive,0.333333333
This is one story behind how and why West Virginia had no reported coronavirus cases for so long,CNN,3/21/2020,negative,-0.225
Illinois Gov J B Pritzker reminded Illinois residents that a stay at home order will go into effect for the sta,CNN,3/21/2020,neutral,0
Different times call for different measures This is a war And in war strategy is important former CDC Dir,CNN,3/21/2020,positive,0.1
The latest updates on the coronavirus in the US and around the world,CNN,3/21/2020,positive,0.5
The chairwoman of the Congressional Asian Pacific American caucus said it is dangerous for President Trump to conti,CNN,3/21/2020,negative,-0.2
Here are some fun ways people have been passing the time in quarantine,CNN,3/21/2020,positive,0.3
Three inmates have tested positive for the coronavirus in Georgia raising concerns the pandemic could spread withi,CNN,3/21/2020,positive,0.227272727
USA Track and Field has called for the 2020 Olympic Games in Tokyo to be postponed because of the ongoing coronavir,CNN,3/21/2020,neutral,0
In New York City reported cases jumped from 183 to 5 151 within six days So far about 8 377 have tested positive,CNN,3/21/2020,positive,0.154545455
Election officials and voting rights groups are calling for a general move to an all vote by mail system for remain,CNN,3/21/2020,positive,0.05
Vice President Mike Pence said that he and his wife Karen would be tested for the coronavirus after a staff member,CNN,3/21/2020,neutral,0
In stressful times these people are showcasing the absolute best in humanity,CNN,3/21/2020,positive,0.6
A global recession once unthinkable in 2020 is now a foregone conclusion and some experts warn that the pandemic,CNN,3/21/2020,negative,-0.025
The United States military flew a team of US women football players back home who were stranded in Honduras after,CNN,3/21/2020,negative,-0.05
FDNY spokesman Jim Long said that FDNY workers could continue to work as long as they don t have symptoms He said,CNN,3/21/2020,negative,-0.05
The French Air Force is transporting coronavirus patients to the west of the country to ease pressure on overcrowde,CNN,3/21/2020,neutral,0
The Ohio Attorney General s office ordered abortion clinics in the state to stop performing nonessential abortion,CNN,3/22/2020,positive,0.05
A key procedural vote to advance a massive stimulus package failed as Senate Democrats lined up against it A final,CNN,3/22/2020,negative,-0.125
More than 400 people in the US have died from coronavirus and there are more than 32 000 cases nationwide Follow,CNN,3/22/2020,positive,0.5
Emma a 12 year old girl is fighting for her life in an Atlanta hospital after testing positive for the coronavi,CNN,3/22/2020,positive,0.163636364
President Trump says the federal government has activated US National Guard units for three of the states hardest h,CNN,3/22/2020,neutral,0
The Senate is taking a key procedural vote to advance a massive stimulus package even as congressional negotiators,CNN,3/22/2020,neutral,0
Republican Sen Mitt Romney of Utah is self quarantining after Sen Rand Paul contracted the coronavirus according,CNN,3/22/2020,neutral,0
German Chancellor Angela Merkel will self quarantine after coming into contact with a person who tested positive fo,CNN,3/22/2020,positive,0.113636364
