User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
Jason Furman says there s some real issues with the Senate GOP coronavirus relief plan There are too many peop,MSNBC,3/20/2020,positive,0.35
NYC mayor 5 151 confirmed cases of coronavirus in New York City 29 dead,MSNBC,3/20/2020,positive,0.112121212
Deliveries are soaring during the coronavirus pandemic but UPS drivers across the US tell they don t thin,MSNBC,3/20/2020,neutral,-0.4
The president after downplaying it for several weeks now sees that the coronavirus is something that,MSNBC,3/21/2020,neutral,0
Housing advocates say President Trump s freeze on foreclosures and evictions by the Dept of Housing and Urban Deve,MSNBC,3/21/2020,neutral,0
Nurse Lisa Merck tells that after telling the CDC her symptoms including a fever she was told she did,MSNBC,3/21/2020,neutral,0
Testing is fundamental to our strategy for beating COVID 19 so the fact that we re still not up to speed is troub,MSNBC,3/21/2020,neutral,0
Flights to all NYC area and Philadelphia airports were briefly halted Saturday after an air traffic controller trai,MSNBC,3/21/2020,neutral,0
People are getting laid off and they are going to lose their health coverage says Sen Harris People need to b,MSNBC,3/21/2020,neutral,0
Italy reports death toll from coronavirus has risen to 4 825 up 793 from Friday The number of coronavirus cases,MSNBC,3/21/2020,neutral,0
WATCH President Trump on coronavirus economic stimulus bill I am strongly recommending a buyback exclusion,MSNBC,3/21/2020,positive,0.316666667
WATCH VP Pence says he and Second Lady Karen Pence will be tested for the coronavirus after a member of his staff,MSNBC,3/21/2020,neutral,0
The new economic emergency package to combat the coronavirus pandemic could total more than 2T President Trump s,MSNBC,3/21/2020,positive,0.209090909
NEW NY Gov Cuomo announces that New York will immediately begin trials for a possible drug therapy for coronavi,MSNBC,3/21/2020,positive,0.090909091
NEW Coronavirus cases in New York state now top 10 000 with more than 3 000 new cases since Friday Gov Cuomo sa,MSNBC,3/21/2020,positive,0.281818182
s daily in depth updates on his coronavirus reporting,MSNBC,3/21/2020,neutral,0
NY Gov Cuomo says there are now 10 356 coronavirus cases in the NY up 3 254 from Friday The number of the new c,MSNBC,3/21/2020,positive,0.136363636
MARCH 21 discusses his latest reporting on coronavirus including how some hospitals in the US are,MSNBC,3/21/2020,positive,0.5
Latest As of 10 30 a m ET March 21 there are 19 144 confirmed coronavirus cases in the US and 247 deaths,MSNBC,3/21/2020,positive,0.45
Hundreds of thousands defy Iraq s coronavirus curfew to visit martyred imam s shrine,MSNBC,3/21/2020,neutral,0
RT 19 144 confirmed coronavirus cases AMJoy,MSNBC,3/21/2020,positive,0.4
Stuck inside for days on end Italians are still finding ways to put on a show,MSNBC,3/21/2020,neutral,0
As physicians diagnose and care for a growing number of people with COVID 19 distinct patterns are emerging givin,MSNBC,3/21/2020,positive,0.3
Coronavirus latest At least 75M Americans are under virtual lockdown More than 275 0,MSNBC,3/21/2020,positive,0.233333333
There is a clear pattern here in this crisis of the president promising stuff that he knows America woul,MSNBC,3/21/2020,positive,0.15
Ian Bremmer says President Trump refers to coronavirus as the Chinese virus because he needs someone to blame,MSNBC,3/21/2020,neutral,0
His words will not save anyone Fmr Obama ebola czar Ron Klain says Americans should not listen to President Tru,MSNBC,3/21/2020,neutral,0
WATCH President Trump insults for asking the president what he would like to say to Americans who,MSNBC,3/21/2020,neutral,0
Leaders from groups helping America s hungry and homeless discuss their aid amid the coronavirus crisis This is,MSNBC,3/21/2020,neutral,0
Greta Thunberg encourages student climate activists to strike online in order to avoid mass gatherings amid the spr,MSNBC,3/21/2020,neutral,0
This is the sort of situation that the Stock Act was literally written to address reporter Derek Wilson says of,MSNBC,3/21/2020,neutral,0
Sen Gary Peters on how coronavirus has impacted employment in Michigan We re seeing about a 550 increase in peo,MSNBC,3/21/2020,neutral,0
Deborah Berger president of National Nurse United criticizes the lack of protection for healthcare workers amid c,MSNBC,3/21/2020,neutral,0
The president doesn t take responsibility very often and he tries to blame his predecessor for most things even wh,MSNBC,3/21/2020,positive,0.2
RT Brian Williams pays tribute to beloved NBC News veteran employee Larry Edgeworth who has died after contracting coronavirus,MSNBC,3/21/2020,positive,0.35
Sen Gillibrand The facts surrounding the trades by these two senators are deeply concerning They were privy to,MSNBC,3/21/2020,neutral,0
President Trump declares New York state a federal major disaster to open up lines for additional coronavirus relief,MSNBC,3/21/2020,positive,0.066287879
RT pays tribute to Larry Edgeworth an NBC News audio technician who died due to complications from coronavi,MSNBC,3/21/2020,negative,-0.125
White House VP Pence staffer tests positive for COVID 19,MSNBC,3/21/2020,positive,0.113636364
American Medical Association president calls for 100B in coronavirus relief Many folks don t realize that physic,MSNBC,3/21/2020,positive,0.166666667
JUST IN Key procedural vote for major coronavirus relief bill fails to pass US Senate in 47 47 vote needed 60 vot,MSNBC,3/22/2020,negative,-0.145833333
RT To clarify I do not have Coronavirus The President has been in contact with my brother Congressman who has corona,MSNBC,3/22/2020,neutral,0
NEW President Trump announces he will activate the federal National Guard to assist Washington California and New,MSNBC,3/22/2020,positive,0.136363636
RT I get the president is talking but the more important news is happening on the Senate floor where 13 Democrats have already vote,MSNBC,3/22/2020,positive,0.45
So far nearly everything the president has promised has been nothing more than an attempt to get a good headline,MSNBC,3/22/2020,positive,0.35
says the COVID 19 pandemic reveals the flaws in every single piece of the system We re seeing thi,MSNBC,3/22/2020,negative,-0.071428571
NEW Louisiana Gov Edwards announces the state will be under a stay at home order beginning Monday at 5 p m,MSNBC,3/22/2020,positive,0.136363636
New York state coronavirus cases rise to 15 168 with 114 deaths Gov Cuomo says,MSNBC,3/22/2020,positive,0.136363636
NEW Ohio Gov DeWine issues new stay at home order for everyone outside of essential workers,MSNBC,3/22/2020,positive,0.068181818
Speaker Pelosi says she is not ready to sign off on the major coronavirus stimulus package and that top Democrats,MSNBC,3/22/2020,positive,0.154166667
German Chancellor Merkel is in quarantine after a doctor who treated her tested positive for coronavirus her press,MSNBC,3/22/2020,positive,0.113636364
We have to make sure that we use this as an opportunity to get reforms in our corporate culture Sen Booker says,MSNBC,3/22/2020,positive,0.25
At least 19 inmates in New York City and 12 NYC Dept of Corrections employees have tested positive for COVID 19 t,MSNBC,3/22/2020,positive,0.021212121
This week on IntoAmerica Now that the coronavirus pandemic has hit all 50 states and affected day to day life for,MSNBC,3/22/2020,neutral,0
RT Stepped out of maternity leave today to interview via computer my pastor Revd Tim Cole the first person to be diagno,MSNBC,3/22/2020,positive,0.25
NEW New York state coronavirus cases rise to 15 168 with 114 deaths Gov Cuomo says,MSNBC,3/22/2020,positive,0.136363636
Live now on NY Gov Cuomo provides latest update on coronavirus outbreak in state,MSNBC,3/22/2020,positive,0.318181818
MARCH 22 discusses his latest reporting on coronavirus,MSNBC,3/22/2020,positive,0.5
WATCH What do you do if you think a family member has COVID 19 Dr Nahid Bhadelia explains measures to take,MSNBC,3/22/2020,neutral,0
Coronavirus latest Number of cases worldwide surpasses 300 000 with more than 13 000 t,MSNBC,3/22/2020,positive,0.5
Rep Kennedy comments on the GOP coronavirus relief plan The idea that you re going to somehow be able to make en,MSNBC,3/22/2020,positive,0.5
RT We have a VERY busy for you this morning We ll talk coronavirus the economy inequality and climate,MSNBC,3/22/2020,positive,0.13
It is not unreasonable to hope that for our churches and our country that we will get through this as we ve got,MSNBC,3/22/2020,neutral,0
Sen Schumer says Senate Dems are trying to negotiate employment insurance into coronavirus legislation You lo,MSNBC,3/22/2020,neutral,0
Dr Esther Choo talks to about obtaining protective medical equipment We re doing these really surreal th,MSNBC,3/22/2020,positive,0.125
King County Executive Dow Constantine The federal government has rendered itself incapable of really rising to th,MSNBC,3/22/2020,positive,0.2
Sara Nelson President of the Association of Flight Attendants Flight attendants are going to work and the restau,MSNBC,3/22/2020,neutral,0
President Trump insists there is cause for optimism about drug therapies for coronavirus despite caution from his,MSNBC,3/22/2020,neutral,0
President Trump VP Pence and other members of the coronavirus task force were asked by reporters when healthcare w,MSNBC,3/22/2020,negative,-0.125
says it s easy to scapegoat foreigners during the coronavirus pandemic and that this is a virus,MSNBC,3/22/2020,positive,0.433333333
The president has had a history and a track record throughout his administration of overhyping his accomplishmen,MSNBC,3/22/2020,neutral,0
You ve still got military officers building a wall in the middle of a pandemic NYC Mayor de Blasio says Every,MSNBC,3/22/2020,negative,-0.05
President Trump s approach to Andrew Cuomo is a classic example of the president that we re seeing now,MSNBC,3/22/2020,positive,0.166666667
NEW VP Pence and Second Lady Karen Pence test negative for coronavirus,MSNBC,3/22/2020,negative,-0.054545455
How are asymptomatic athletes getting tested before others Do the well connected go to front of,MSNBC,3/22/2020,neutral,0
China South Korea and Taiwan are now sending resources around the world to help combat the coronavirus pandemic,MSNBC,3/22/2020,neutral,0
When asked by if it was a mistake for President Trump to imply COVID 19 would go away seasonally Maryla,MSNBC,3/22/2020,neutral,0
Live now on Rep Omar joins to discuss the 2T coronavirus relief bill,MSNBC,3/27/2020,positive,0.136363636
UPDATE More than 100 000 coronavirus cases have been reported in the US the most in the world data show,MSNBC,3/27/2020,positive,0.5
I want them to be appreciative President Trump addresses feedback from some governors about the federal govern,MSNBC,3/27/2020,positive,0.6
President Trump has invoked the Defense Production Act to order the HHS on Friday to compel General Motors to manuf,MSNBC,3/27/2020,positive,0.05
WATCH President Trump says deal struck with companies to ramp up manufacturing of over 100 000 ventilators needed,MSNBC,3/27/2020,neutral,0
Four older guests died on a Holland America cruise ship where two people have tested positive for the coronavirus a,MSNBC,3/27/2020,positive,0.196969697
