User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
NEW Health officials in Washington said Saturday the coronavirus death toll in the state has risen to 94,NBCNews,3/21/2020,positive,0.136363636
RT Rep Mario Diaz Balart who tested positive this week for the coronavirus speaks out to our his brother,NBCNews,3/21/2020,positive,0.227272727
U S Olympic Committee says more clarity needed before decision on postponement requests for 2020 Olympic Games,NBCNews,3/21/2020,positive,0.5
New York City appears to be largely abiding by officials orders in regard to bar and restaurant service at least,NBCNews,3/21/2020,positive,0.016883117
In his first interview since testing positive for coronavirus Rep Diaz Balart told that he is finally fe,NBCNews,3/21/2020,positive,0.159090909
They are treating people differently at a time when we all need to get essential items like masks gloves and heal,NBCNews,3/21/2020,neutral,0
RT Rep Mario Diaz Balart speaks out after testing positive for the coronavirus The symptoms pretty much hit me like a t,NBCNews,3/21/2020,positive,0.225757576
North Korea says President Trump sent Kim Jong Un a letter in which Trump said he was impressed by the North Korean,NBCNews,3/21/2020,positive,1
RT Tonight on leads our coverage of the coronavirus pandemic with an inside look at how Los,NBCNews,3/21/2020,neutral,0
Most people who have tested positive for coronavirus in New York City are younger than 50 according to figures rel,NBCNews,3/21/2020,positive,0.215909091
RT TONIGHT Rep Mario Diaz Balart speaks out after testing positive for the coronavirus He talks to our his,NBCNews,3/21/2020,positive,0.227272727
LIVE Florida Gov DeSantis holds briefing on coronavirus outbreak,NBCNews,3/21/2020,positive,0.136363636
Is there an older relative friend you re worried about amid the coronavirus outbreak Parent Aunt uncle Gran,NBCNews,3/21/2020,positive,0.083333333
WATCH Drone video shows long lines on Friday at coronavirus testing site in Paramus New Jersey,NBCNews,3/21/2020,positive,0.043181818
President Trump VP Pence and other members of the coronavirus task force were asked by reporters when healthcare w,NBCNews,3/21/2020,negative,-0.125
President Trump insists there is cause for optimism about drug therapies for coronavirus despite caution from his,NBCNews,3/21/2020,neutral,0
RT NYC s hospitals are limiting tests of COVID 19 to those who are hospitalized in the epicenter of the coronavirus outbreak an,NBCNews,3/21/2020,neutral,0
Housing advocates say President Trump s freeze on foreclosures and evictions by the Dept of Housing and Urban Deve,NBCNews,3/21/2020,neutral,0
China South Korea and Taiwan are now sending resources around the world to help combat the coronavirus pandemic,NBCNews,3/21/2020,neutral,0
Flights to all NYC area and Philadelphia airports were briefly halted Saturday after an air traffic controller trai,NBCNews,3/21/2020,neutral,0
RT BREAKING Italy reports death toll from coronavirus has risen to 4 825 up 793 from Friday The total number of coronavirus,NBCNews,3/21/2020,neutral,0
Opinion Frank Figliuzzi Coronavirus scams are already going viral And it s about to get worse,NBCNews,3/21/2020,negative,-0.4
A federal court in Texas temporarily shut down what prosecutors said was a fraudulent website claiming to offer cor,NBCNews,3/22/2020,negative,-0.155555556
Top U S health officials are looking very closely at reports that a much higher percentage of younger Americans,NBCNews,3/22/2020,positive,0.2375
What exactly is the coronavirus Here s what we know about it so far,NBCNews,3/22/2020,positive,0.175
Inside the Singapore lab on the front lines of the fight against coronavirus,NBCNews,3/22/2020,neutral,0
JUST IN Key procedural vote for major coronavirus relief bill fails to pass US Senate in 47 47 vote needed 60 vot,NBCNews,3/22/2020,negative,-0.145833333
RT Our anchor interviewed his brother Rep Mario Diaz Balart the first member of Congress to test positive for,NBCNews,3/22/2020,positive,0.238636364
