User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
Americans have shut themselves off from each other in a dramatic fashion in hopes of curbing the global coronavirus,nytimes,3/21/2020,negative,-0.186111111
As testing expanded and the coronavirus spread cases began pouring in by the dozens then by the hundreds and thou,nytimes,3/21/2020,neutral,0
As the global coronavirus pandemic unfolds people are dying around the world The accompanying chart allows you to,nytimes,3/21/2020,neutral,0
At first the coronavirus was detected only in a handful of cases in the United States and mostly in people who ha,nytimes,3/21/2020,positive,0.25
Despite now having some of the toughest measures in the world Italian authorities fumbled steps to isolate the cor,nytimes,3/21/2020,neutral,0
Did you follow the headlines this week Take our news quiz to find out,nytimes,3/21/2020,neutral,0
Economists say there is little doubt that the U S is headed into a recession because of the coronavirus pandemic,nytimes,3/21/2020,negative,-0.1875
From charities that help children to organizations that put food on the table there is no shortage of ways to help,nytimes,3/21/2020,neutral,0
Hospitals in the U S could be forced to make harrowing choices on who receives life saving treatment as coronaviru,nytimes,3/21/2020,negative,-0.3
In Opinion It is almost certain that the 2020 election won t look like any we ve seen before writes the editori,nytimes,3/21/2020,positive,0.214285714
In Opinion Jennie Weiner writes I want to send a message to parents and in particular to working moms who will,nytimes,3/21/2020,positive,0.166666667
In Opinion Jennifer Senior writes If the public wants factual news briefings they need to tune in to those who,nytimes,3/21/2020,positive,0.1
It s all just slamming at once The families of those killed in last weekend s mass shooting in Springfield Miss,nytimes,3/21/2020,negative,-0.1
Italy has surpassed China as the country with the highest death toll becoming the epicenter of a shifting pandemic,nytimes,3/21/2020,positive,0.45
Italy s experience shows that steps to isolate affected regions and limit people s movement need to be put in place,nytimes,3/21/2020,neutral,0
Italy stands as a warning to its European neighbors and the U S where the coronavirus is coming with equal veloci,nytimes,3/21/2020,neutral,0
New York state officials are considering turning landmark locations like the Javits Center into makeshift hospitals,nytimes,3/21/2020,positive,0.018181818
On Saturday the White House again stopped short of taking more assertive steps to push American companies to help,nytimes,3/21/2020,positive,0.125
RT Add freezers to the list of items sold out during the coronavirus pandemic,nytimes,3/21/2020,neutral,0
RT During the 2016 campaign as hurricane season was approaching and with Trump owning Florida properties advisers tried getti,nytimes,3/21/2020,neutral,0
RT Here it is Watch how coronavirus cases spread and or finally got identified across the United States over the past two,nytimes,3/21/2020,negative,-0.125
RT Irwin For the second time this century the Federal Reserve is facing the prospect of economic collapse and the need to invent ne,nytimes,3/21/2020,positive,0.1
RT It got to the point that one family began poring over the nameless daily death tallies for a hint of whether their mom wa,nytimes,3/21/2020,negative,-0.25
RT Italy s tragic experience with the coronavirus provides a searing and seemingly unheeded lesson for the world Ital,nytimes,3/21/2020,negative,-0.75
RT Listen to the audio atop this story The 911 calls came in one after another Difficulty breathing Turning blue Come quic,nytimes,3/21/2020,neutral,0
RT NEW UPS and FedEx drivers help protect people who must stay home but many say no one is protecting them They show up s,nytimes,3/21/2020,positive,0.318181818
RT NEW UPS FedEx and other delivery companies are critical to keeping Americans at home slowing the spread of the corona,nytimes,3/21/2020,positive,0.003787879
RT New Yorkers confront uncharted territory in the wake of Coronavirus shutdowns A harrowing dispatch from our own city CC,nytimes,3/21/2020,positive,0.368181818
RT Really good look by at how the coronavirus may hit women s athletes and women s sports particularly hard,nytimes,3/21/2020,positive,0.204166667
RT The Hardest Questions Doctors May Face Who Will Be Saved Who Won t,nytimes,3/21/2020,neutral,0
RT With work from Times reporters on three continents here s our story on the sudden swell of calls for the postponement of th,nytimes,3/21/2020,neutral,0
State a casa or Stay at home illuminates the Pirellone an iconic building in Milan,nytimes,3/21/2020,positive,0.5
The sight of National Guard members being deployed in several states has prompted false rumors of martial law and m,nytimes,3/21/2020,negative,-0.133333333
They were just not prepared for what was happening None of us were The coronavirus claimed 35 lives when it swe,nytimes,3/21/2020,neutral,0
Truckers warehouse workers and delivery drivers for UPS and FedEx are reporting for their shifts sometimes with,nytimes,3/21/2020,neutral,0
Already hospitals across the New York region are reporting a surge of coronavirus patients On Sunday Gov Andrew,nytimes,3/22/2020,positive,0.136363636
As Americans stock up on provisions to isolate during the coronavirus outbreak some are considering buying an extr,nytimes,3/22/2020,neutral,0
As confirmed cases of Covid 19 now surge across the United States and overturn every facet of normal life the trou,nytimes,3/22/2020,positive,0.275
As the American heath care system strains to accommodate the coronavirus outbreak many medical professionals on th,nytimes,3/22/2020,positive,0.166666667
As the coronavirus spread across China in early January international travel continued as normal Thousands flew f,nytimes,3/22/2020,positive,0.083333333
Breaking News Senate Democrats blocked action on a sweeping economic rescue plan saying it failed to adequately p,nytimes,3/22/2020,positive,0.033333333
Breaking News Senator Rand Paul tested positive for the coronavirus and Chancellor Angela Merkel of Germany was s,nytimes,3/22/2020,positive,0.227272727
Carolyn Lockley placed this 911 call about her 65 year old sister Renee Gibbs on March 2 Hours after that Rene,nytimes,3/22/2020,neutral,0.1
Communities around the U S are grappling with a range of emotions brought on by the coronavirus pandemic from anx,nytimes,3/22/2020,neutral,0
Critic s Notebook We are undergoing a trauma that we can t fully comprehend Denied our favorite sources of fun,nytimes,3/22/2020,positive,0.4
Doctors are already drafting plans for a worst case decision as the coronavirus overwhelms U S hospitals Who will,nytimes,3/22/2020,neutral,-1
For the most part hedge fund managers have protected wealthy investors and pension funds from the worst of the sto,nytimes,3/22/2020,neutral,0
For today March 22 here s how to follow the latest on the coronavirus outbreak We ll update this every day,nytimes,3/22/2020,positive,0.5
For years skeptics expressed concern about how President Trump would handle a genuine crisis threatening the natio,nytimes,3/22/2020,positive,0.4
