User Name,Statuses,Time Created At,Sentiment Analysis,Polarity
RT Now is not the time for political gamesmanship Congress must come together to provide the funding needed to help slow the,24hrTVMazi,2/28/2020,negative,-0.15
RT Now is not the time for political gamesmanship Congress must come together to provide the funding needed to help slow the,24hrTVMazi,2/28/2020,negative,-0.15
RT The US has decided to postpone a meeting with leaders of Southeast Asian countries due to worries about the coronavirus outbre,andib3260,2/28/2020,negative,-0.0625
RT The US has decided to postpone a meeting with leaders of Southeast Asian countries due to worries about the coronavirus outbre,andib3260,2/28/2020,negative,-0.0625
Coronavirus doctor It s not Ebola do not panic,avonlady70,2/28/2020,neutral,0
Coronavirus doctor It s not Ebola do not panic,avonlady70,2/28/2020,neutral,0
RT silenced People cheering for CoronaVirus to topple Trump should realize A President Bernie would be no better He d have no fr,chiefmon1,2/28/2020,neutral,-0.25
RT That s what will happen to all the CoronaVirus funding too Millions if not billions will go to left wing g,ClifbonClifton,2/28/2020,neutral,0
RT What a difference a week makes This time last week whilst researching NCYT I was bemused that not one UK or US mainst,Daddy_Warbucks3,2/28/2020,neutral,0
RT JYP Entertainment has donated 500 million won to help prevent the spread of coronavirus saying We hope it will be of help t,dahyunchan98,2/28/2020,neutral,0
RT mes2 EXO Chanyeol has donated 50 million won to Hope Bridge to help support those affected by the Coronavirus outbreak,dearKJI,2/28/2020,neutral,0
RT We should be coming together to combat the coronavirus but the left is attacking what they fear They fear the stea,DHaithcock2,2/28/2020,neutral,0
RT mes2 EXO Chanyeol has donated 50 million won to Hope Bridge to help support those affected by the Coronavirus outbreak,diela_aldila,2/28/2020,neutral,0
RT Lewis Canada Dry dropping a loud pack just in time to combat coronavirus Look at that,DopestSalEver,2/28/2020,positive,0.016666667
RT JUST IN The family member of a Bothell High School staffer who was placed into quarantine for possible coronavirus and resu,hexiang129,2/28/2020,positive,0.08
RT 1776 pettypelosi District LiberalismIsAMentalDisorder,kimmi_chelle,2/28/2020,neutral,0
RT The coronavirus outbreak has me thinking back to when I was a server and worked a week straight while I was really sick an,Kylee1315,2/28/2020,negative,-0.171428571
